case_study,dmn_file,decision_name,io,variable_name,feel_type,predicted_table,predicted_column,confidence,predicted_mapping_type,top3_candidates,notes
FLEX2,Academic_Standing.dmn,Academic Warning Status,input,cumulativeGPA,number,,,0.225,"likely derived (auto, low confidence -- needs review)",FMSPONSORSHIP.MINSGPA (0.23); FMSTUDENTSPONSORSHIP.MINSGPA (0.23); FB_QUESTIONS.ISACTIVE (0.21),"auto-generated, unreviewed"
FLEX2,Academic_Standing.dmn,Academic Warning Status,input,priorWarningCount,number,,,0.446,"likely derived (auto, low confidence -- needs review)",STUDENT_PROGRAM.WARNING (0.45); STUDENT_SEMESTER.WARNING (0.45); STUDENT_REMARKS_HISTORY.PRIORITY (0.25),"auto-generated, unreviewed"
FLEX2,Academic_Standing.dmn,Academic Warning Status,output,newWarningCount,number,,,,"not-persisted (output/control-flow, default)",STUDENT_PROGRAM.WARNING (0.47); STUDENT_SEMESTER.WARNING (0.47); CNIC_LOG.NEW_RELATION (0.30),auto-generated
FLEX2,Academic_Standing.dmn,Academic Warning Status,output,admissionStatus,string,,,,"not-persisted (output/control-flow, default)",FMEXECUTIVEREPORTDATA.STATUS (0.53); FMSEMFEE_20190114.STATUS (0.53); FMSEMFEE_20190129.STATUS (0.53),auto-generated
FLEX2,Academic_Standing.dmn,Academic Warning Status,output,warningAction,string,,,,"not-persisted (output/control-flow, default)",REGISTRATIONLOG.ACTION (0.56); REGISTRATIONLOG_20190122.ACTION (0.56); REGISTRATIONLOG_TEMP.ACTION (0.56),auto-generated
FLEX2,Academic_Standing.dmn,Course Load Limit,input,semesterType,string,NUMEN_EMPLOYEEDETAIL,SEMESTER,0.635,"direct (auto, confident)",NUMEN_EMPLOYEEDETAIL.SEMESTER (0.64); FMSEMFEE_20190114.TYPE (0.55); FMSEMFEE_20190129.TYPE (0.55),auto-generated
FLEX2,Academic_Standing.dmn,Course Load Limit,input,newWarningCount,number,STUDENT_PROGRAM,WARNING,0.47,"derived (auto, needs formula review)",STUDENT_PROGRAM.WARNING (0.47); STUDENT_SEMESTER.WARNING (0.47); CNIC_LOG.NEW_RELATION (0.30),auto-generated
FLEX2,Academic_Standing.dmn,Course Load Limit,output,maxCoursesAllowed,number,,,,"not-persisted (output/control-flow, default)",FMEXECUTIVEREPORTDATA.COURSES (0.45); FMSEMFEE_20190114.COURSES (0.45); FMSEMFEE_20190129.COURSES (0.45),auto-generated
FLEX2,Academic_Standing.dmn,Course Load Limit,output,courseLoadBasis,string,,,,"not-persisted (output/control-flow, default)",NUMEN_EMPLOYEEDETAIL.COURSE (0.44); TT_STD_REGISTRATION.COURSE_CODE (0.41); TT_STD_REGISTRATION.COURSE_TITLE (0.37),auto-generated
FLEX2,Academic_Standing.dmn,Admission Closure Eligibility,input,newWarningCount,number,STUDENT_PROGRAM,WARNING,0.47,"derived (auto, needs formula review)",STUDENT_PROGRAM.WARNING (0.47); STUDENT_SEMESTER.WARNING (0.47); CNIC_LOG.NEW_RELATION (0.30),auto-generated
FLEX2,Academic_Standing.dmn,Admission Closure Eligibility,input,maxDurationExceeded,boolean,,,0.201,needs review (no confident match),PROGRAM.MAX_DURATION_YEAR (0.20); ORA_ASPNET_APPLICATIONS.APPLICATIONID (0.17); ORA_ASPNET_MEMBERSHIP.APPLICATIONID (0.17),"auto-generated, unreviewed"
