case_study,dmn_file,decision_name,io,variable_name,feel_type,literal_values,label
FLEX2,Academic_Standing.dmn,Academic Warning Status,input,cumulativeGPA,number,,Cumulative GPA
FLEX2,Academic_Standing.dmn,Academic Warning Status,input,priorWarningCount,number,,Prior Warning Count
FLEX2,Academic_Standing.dmn,Academic Warning Status,output,newWarningCount,number,,New Warning Count
FLEX2,Academic_Standing.dmn,Academic Warning Status,output,admissionStatus,string,,Admission Status
FLEX2,Academic_Standing.dmn,Academic Warning Status,output,warningAction,string,,Warning Action
FLEX2,Academic_Standing.dmn,Course Load Limit,input,semesterType,string,Regular;Summer,Semester Type
FLEX2,Academic_Standing.dmn,Course Load Limit,input,newWarningCount,number,,New Warning Count
FLEX2,Academic_Standing.dmn,Course Load Limit,output,maxCoursesAllowed,number,,Max Courses Allowed
FLEX2,Academic_Standing.dmn,Course Load Limit,output,courseLoadBasis,string,,Course Load Basis
FLEX2,Academic_Standing.dmn,Admission Closure Eligibility,input,newWarningCount,number,,New Warning Count
FLEX2,Academic_Standing.dmn,Admission Closure Eligibility,input,maxDurationExceeded,boolean,,Max Duration Exceeded
FLEX2,Academic_Standing.dmn,Admission Closure Eligibility,input,suspendedRegistrationNotRestored,boolean,,Suspended Registration Not Restored
FLEX2,Academic_Standing.dmn,Admission Closure Eligibility,input,newAdmissionEligibilityNotMet,boolean,,New-Admission Eligibility Not Met
FLEX2,Academic_Standing.dmn,Admission Closure Eligibility,output,admissionStatus,string,,Admission Status
FLEX2,Academic_Standing.dmn,Admission Closure Eligibility,output,closureReason,string,,Closure Reason
FLEX2,Academic_Standing.dmn,Course Registration Eligibility,input,allPrerequisitesPassed,boolean,,All Pre-requisites Passed
FLEX2,Academic_Standing.dmn,Course Registration Eligibility,input,newWarningCount,number,,New Warning Count
FLEX2,Academic_Standing.dmn,Course Registration Eligibility,input,isMandatoryReregistration,boolean,,Is Mandatory Re-registration
FLEX2,Academic_Standing.dmn,Course Registration Eligibility,input,projectedTotalCoursesThisRegistration,number,,Projected Total Courses This Registration
FLEX2,Academic_Standing.dmn,Course Registration Eligibility,input,maxCoursesAllowed,number,,Max Courses Allowed
FLEX2,Academic_Standing.dmn,Course Registration Eligibility,output,canRegisterCourse,boolean,,Can Register Course
FLEX2,Academic_Standing.dmn,Course Registration Eligibility,output,reason,string,,Reason
FLEX2,Course_Replacement_Eligibility.dmn,Course Replacement Eligibility,input,degreeRequirementsCompletedOrCompletingThisSemester,boolean,,Degree Requirements Completed Or Completing This Semester
FLEX2,Course_Replacement_Eligibility.dmn,Course Replacement Eligibility,input,gradeInCourseToReplace,string,F,Grade In Course To Replace
FLEX2,Course_Replacement_Eligibility.dmn,Course Replacement Eligibility,input,courseOfferedInFollowingSemesters,boolean,,Course Offered In Following Semesters
FLEX2,Course_Replacement_Eligibility.dmn,Course Replacement Eligibility,input,replacingCoursePassedAtLeastOneSemesterAfter,boolean,,Replacing Course Passed At Least One Semester After
FLEX2,Course_Replacement_Eligibility.dmn,Course Replacement Eligibility,input,isCoreCourse,boolean,,Is Core Course
FLEX2,Course_Replacement_Eligibility.dmn,Course Replacement Eligibility,output,eligibleForReplacement,boolean,,Eligible For Replacement
FLEX2,Course_Replacement_Eligibility.dmn,Course Replacement Eligibility,output,reason,string,,Reason
FLEX2,Credit_Transfer_Exemption.dmn,Credit Transfer Exemption,input,cumulativeExemptedCreditPercentIfGranted,number,,Cumulative Exempted Credit Percent If Granted
FLEX2,Credit_Transfer_Exemption.dmn,Credit Transfer Exemption,input,prerequisiteCourseAlsoPassed,boolean,,Pre-requisite Course Also Passed
FLEX2,Credit_Transfer_Exemption.dmn,Credit Transfer Exemption,output,exemptionGranted,boolean,,Exemption Granted
FLEX2,Credit_Transfer_Exemption.dmn,Credit Transfer Exemption,output,creditGivenForPrerequisite,boolean,,Credit Given For Prerequisite
FLEX2,Credit_Transfer_Exemption.dmn,Credit Transfer Exemption,output,countsTowardCGPA,boolean,,Counts Toward CGPA
FLEX2,Credit_Transfer_Exemption.dmn,Credit Transfer Exemption,output,reason,string,,Reason
FLEX2,Grading_and_Attendance.dmn,Attendance Percentage,output,attendancePercentage,number,,
FLEX2,Grading_and_Attendance.dmn,Attendance Percentage,input,lecturesAttended,,,
FLEX2,Grading_and_Attendance.dmn,Attendance Percentage,input,lecturesHeldForOffering,,,
FLEX2,Grading_and_Attendance.dmn,Attendance Eligibility For Final Exam,input,attendancePercentage,number,,Attendance Percentage
FLEX2,Grading_and_Attendance.dmn,Attendance Eligibility For Final Exam,output,eligibleForFinalExam,boolean,,Eligible For Final Exam (Not Debarred)
FLEX2,Grading_and_Attendance.dmn,Attendance Eligibility For Final Exam,output,assignedGradeOverride,string,,Assigned Grade Override
FLEX2,Grading_and_Attendance.dmn,Grade Points and Interpretation,input,letterGrade,string,A;A+;A-;B;B+;B-;C;C+;C-;D;D+;F;FA;I;W,Letter Grade
FLEX2,Grading_and_Attendance.dmn,Grade Points and Interpretation,output,gradePoints,number,,Grade Points
FLEX2,Grading_and_Attendance.dmn,Grade Points and Interpretation,output,interpretation,string,,Interpretation
FLEX2,Graduation_Eligibility.dmn,Graduation Eligibility,input,creditHoursEarned,number,,Credit Hours Earned
